Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
Taylor's University,MY,251,284,40.5,27.0,81.0,71.5,10.1,64.8,99.6,41.4,4.2,22.2,1.8918744931919493,0.7632407914634369
Tongji University,CN,192,216,46.9,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4,2.195240419022725,0.8173329931568768
Hong Kong Baptist University,HK,252,295,40.3,18.2,12.0,60.0,61.4,98.9,100.0,37.0,15.7,54.4,1.9265143468769013,2.6998762516516783
University of Göttingen,DE,252,232,40.3,46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3,32.1,1.808440133462629,-0.6742790630771582
Griffith University,AU,255,243,40.1,27.0,13.7,8.4,62.5,99.8,38.5,92.1,17.9,96.4,2.4199167947008915,1.9692117836153362
Bandung Institute of Technology (ITB),ID,256,281,39.9,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,1.8098673098843185,-1.0483170956509977
Heriot-Watt University,UK,256,235,39.9,17.8,27.1,17.6,65.2,100.0,98.1,75.4,26.3,25.7,2.127277784685846,2.708949019419247
University of Warsaw ,PL,258,262,39.8,50.0,53.6,46.4,5.5,10.5,8.4,84.1,60.0,69.8,2.094687190612939,-2.102513592157263
Case Western Reserve University,US,259,255,39.7,17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3,53.1,1.6238105972990402,0.8065815037253454
University of Lisbon ,PT,260,266,39.6,44.0,20.7,10.7,36.5,9.0,39.4,98.2,94.0,70.9,2.441829061474597,-1.002496176721289
United Arab Emirates University,AE,261,290,39.4,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,2.552239171682487,0.05695032344105042
University of Canterbury | Te Whare W?nanga o Waitaha,NZ,261,256,39.4,34.7,27.3,10.4,31.4,100.0,27.7,63.0,82.3,91.1,2.741867101305488,0.4039385518543182
Indian Institute of Technology Kanpur (IITK),IN,263,278,39.3,36.9,56.9,14.0,73.3,2.6,1.1,38.8,19.6,22.0,0.6556402718401187,-1.2152119760675966
